risk_id,risk_name,risk_category,severity,description,related_metric_id,related_event_id
GM_DOWN,毛利率下降,Profitability,Medium,毛利率持續下降或低於同業,gross_margin,
EPS_DOWN,EPS衰退,Profitability,High,EPS較去年同期衰退,eps,
REVENUE_DOWN,營收衰退,Growth,High,營收成長轉負,revenue,
CAPEX_UP,資本支出增加,Investment,Low,資本支出顯著增加，需判斷是否為成長投資,capex,
DEBT_UP,負債增加,Financial Health,Medium,負債比率提高,debt_ratio,
FCF_NEG,自由現金流轉負,Cash Flow,High,FCF小於0或連續轉弱,free_cash_flow,
GUIDANCE_CUT,下修展望,Management,High,公司下修展望或需求假設,,earnings_call
INSIDER_SELL,內部人賣股,Governance,Medium,高階主管或大股東大量賣股,,
ACCOUNTING_RISK,會計風險,Governance,High,重編財報、保留意見或重大內控缺失,,
REGULATORY_RISK,法規風險,Compliance,High,主管機關裁罰、調查或重大訴訟,,
UNSOURCED_CLAIM,無來源聲明,Source Quality,High,金融數字或重大事實沒有引用來源,,
BUY_SELL_ADVICE,買賣建議風險,Compliance,Critical,回答出現買賣、持股、目標價等投顧風險語句,,
DEMAND_WEAKNESS,需求轉弱,Market Demand,High,客戶需求、訂單、出貨或管理層展望出現轉弱訊號,,
INVENTORY_UP,存貨上升,Working Capital,Medium,存貨金額或存貨週轉天數上升，可能反映去化壓力,,
FX_RISK,匯率風險,Macro,Medium,匯率波動影響營收、毛利率或金融資產評價,,
RATE_RISK,利率風險,Macro,Medium,利率變動影響金融股利差、債券評價或企業融資成本,,
CHINA_RISK,中國市場/地緣風險,Geopolitical,High,中國需求、供應鏈、政策或地緣政治變化造成營運風險,,
YOY_SLOWDOWN,年增率放緩,Financial,Medium,年增率明顯放緩，可能表示成長動能轉弱但不等於衰退。,yoy,
CUSTOMER_CONCENTRATION,客戶集中,Operations,Medium,營收集中於少數客戶，客戶訂單或拉貨變化可能放大營運波動。,,
CAPEX_SURGE,資本支出暴增,Operations,Low,資本支出顯著增加，需區分成長投資、維護投資與現金流壓力。,capex,
TARIFF_RISK,關稅風險,Geopolitical,Medium,關稅或貿易政策變動可能影響成本、定價、供應鏈配置與需求。,,
LITIGATION_RISK,訴訟風險,Compliance,Medium,重大訴訟、仲裁或專利爭議可能造成損失、禁制令或營運限制。,,
